[빠른곡]
1. 다 찬양하여라 | G, A | 빠른곡
2. 만 입이 내게 있으면 | G, A | 빠른곡
3. 복의 근원 강림하사 | D, E | 빠른곡
4. 찬양하라 복되신 구세주 예수 | G, A | 빠른곡
5. 찬송으로 보답하며 | G, A | 빠른곡
6. 기뻐하며 경배하세 | G, A | 빠른곡
7. 내 진정 사모하는 | F, G, A | 빠른곡
8. 예수는 나의 힘이요 | G, A | 빠른곡
9. 주 예수보다 더 귀한 것은 없네 | D, E | 빠른곡
10. 만왕의 왕 내 주께서 | G, A | 빠른곡
11. 주의 말씀 듣고서 | G, A | 빠른곡
12. 죄에서 자유를 얻게 함은 | G, A | 빠른곡
13. 마귀들과 싸울지라 | G, A | 빠른곡
14. 우리들이 싸울 길은 | G, A | 빠른곡
15. 십자가 군병들아 | G, A | 빠른곡
16. 주 믿는 사람 일어나라 | G, A | 빠른곡
17. 천성을 향해 가는 성도들아 | G, A | 빠른곡
18. 이 눈에 아무 증거 아니뵈어도 | G, A | 빠른곡
19. 구 주로 삼은 모든 모든 것 | G, A | 빠른곡
20. 할렐루야 찬양하세 | G, A | 빠른곡
21. 주 하나님 독생자 예수 | A, Bb | 빠른곡
22. 기쁜 소리 들리니 | G, A | 빠른곡
23. 예수 따라가며 | F, G | 빠른곡
24. 온 세상 위하여 | G, A | 빠른곡
25. 영광을 받으신 만군의 주 | G, A | 빠른곡
26. 승리는 내 것일세 | G, A | 빠른곡
27. 슬픔 걱정 가득 차고 | G, A | 빠른곡
28. 나 속죄함을 받은 후 | G, A | 빠른곡
29. 주님의 마음을 본받는 자 | G, A | 빠른곡
30. 행군나팔 소리에 | G, A | 빠른곡
31. 우리들의 싸울 무기는 | G, A | 빠른곡
32. 일어나라 주의 백성 | G, A | 빠른곡
33. 영화로신 주 이름 | G, A | 빠른곡

[미디움]
34. 찬송하는 소리 있어 | G, A | 미디움
35. 이 날은 주가 정하신 | D, E | 미디움
36. 주 하나님 지으신 모든 세계 | A, Bb | 미디움
37. 나의 기쁨 나의 소망 되시며 | G, A | 미디움
38. 시온성과 같은 교회 | A, Bb | 미디움
39. 나의 죄를 씻기는 | G, A | 미디움
40. 예수 십자가에 흘린 피로써 | G, A | 미디움
41. 예수를 나의 구주 삼고 | D, E | 미디움
42. 아 하나님의 은혜로 | D, E | 미디움
43. 주 안에 있는 나에게 | G, A | 미디움
44. 너 근심 걱정 말아라 | A, Bb | 미디움
45. 나의 갈 길 다가도록 | G, A | 미디움
46. 주와 같이 길 가는 것 | E, F | 미디움
47. 내 영혼에 햇빛 비치니 | G, A | 미디움
48. 내 영혼이 은총 입어 | G, A | 미디움
49. 아침 해가 돋을 때 | G, A | 미디움
50. 주 음성 외에는 | G, A | 미디움
51. 하나님의 나팔소리 | G, A | 미디움
52. 태산을 넘어 험곡에 가도 | G, A | 미디움
53. 나 가나안 땅 귀한 성에 | G, A | 미디움
54. 주의 친절한 팔에 안기세 | G, A | 미디움
55. 주의 피로 이룬 샘물 | G, A | 미디움
56. 예수 그리스도 세상의 빛 | G, A | 미디움
57. 큰 영광 중에 계신 주 | G, A | 미디움
58. 참 아름다운 빛을 주신 주 | G, A | 미디움
59. 오 신실하신 주 | D, E | 미디움
60. 주 날개 밑 내가 편안히 쉬네 | D, E | 미디움
61. 늘 지켜 주시네 | G, A | 미디움
62. 내 주 되신 주를 참 사랑하고 | F, G | 미디움
63. 내 마음에 한 노래 있어 | G, A | 미디움
64. 주의 곁에 있을 때 | G, A | 미디움
65. 주를 앙모하는 자 | G, A | 미디움
66. 하나님의 은혜 한량없으리 | G, A | 미디움

[느린곡]
67. 구주를 생각만 해도 | G, A | 느린곡
68. 슬픈 마음 있는 사람 | G, A | 느린곡
69. 예수님은 누구신가 | G, A | 느린곡
70. 예수 나를 위하여 | G, A | 느린곡
71. 주 달려 죽은 십자가 | E, F | 느린곡
72. 갈보리산 위에 | A, Bb | 느린곡
73. 강물 같이 흐르는 기쁨 | F, G | 느린곡
74. 지금까지 지내온 것 | D, Eb | 느린곡
75. 그 크신 하나님의 사랑 | C, D | 느린곡
76. 내 모양 이대로 | F, G | 느린곡
77. 내 모든 시험 무거운 짐을 | C, D | 느린곡
78. 오 놀라운 구세주 예수 내 주 | G, A | 느린곡
79. 구주와 함께 나 죽었으니 | D, E | 느린곡
80. 주와 같이 길 가는 것 | D, E | 느린곡
81. 나의 영원하신 기업 | G, A | 느린곡
82. 저 높은 곳을 향하여 | G, A | 느린곡
83. 내 평생에 가는 길 | C, D | 느린곡
84. 참 아름다워라 | D, E | 느린곡
85. 내 주를 가까이 하게 함은 | F, G | 느린곡
86. 인애하신 구세주여 | G, A | 느린곡
87. 목마른 사슴이 | C, D | 느린곡
88. 오 신실하신 주 | C, D | 느린곡
89. 주 예수 내가 알기 전 | G, A | 느린곡
90. 괴로운 백성들이여 | G, A | 느린곡
91. 만세반석 열리니 | G, A | 느린곡
92. 예수 가장 귀한 그 이름 | C, D | 느린곡
93. 나 주를 멀리 떠났다 | G, A | 느린곡
94. 나 같은 죄인 살리신 | F, G | 느린곡
95. 온 천하 만물 우러러 | D, E | 느린곡
96. 주여 지난 밤 내 꿈에 | G, A | 느린곡
97. 주 밤새도록 내게 말씀하시네 | G, A | 느린곡
98. 하나님의 진리 등대 | G, A | 느린곡
99. 아침 해 돋을 때 | G, A | 느린곡
100. 저 장미꽃 위에 이슬 | G, A | 느린곡
