 ,,이 곳에 없는 곡이 있다면 ,새로운 곡을 추가해주시길 ,부탁드립니다,감사합니다,,,찬송가는 미디움이라도 찬송가란에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FAST,,SLOW,,MEDIU,,찬송가,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,거리마다 기쁨으로,,나의 피난처 예수 의지해요,나의 만족과 유익을 위해,산과 시내와 붉은 노을과,,내 평생에 가는 길,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수 감사하리 주의 보혈(A),,목마른 사슴,내 구주 예수님,나는 죽고 주가 살고 ,,주 예수 보다 더 귀한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주이름 큰능력있도다,,보이지 않는 영원한 왕,사랑하는 나의 아버지,거룩하신 성령이여,,예수 사랑하심은,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,저 높은 하늘 위로,,은혜로만 들어가네,예수 사랑해요,성령이여 임하소서,,하늘에 가득한 영광의 하나님(새찬9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,복음 들고 산을 ,,주의 거룩하심 생각할 때,약한 나로 강하게,,,귀하신 주여 날 붙드사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,할 수 있다 하신 이는,,주 품에 품으소서,주께와 엎드려,,,새벽부터 우리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,먼저 그 나라와 의를 구하라,부흥 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,기대,날 향한 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,힘들고 지쳐,다시 복음 앞에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,성령이 오셨네,여호와 우리 주여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주님 손잡고 일어서세요,주 품에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,하나님이시여,한라에서 백두까지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,행복,찬양을 드리며,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,주님 다시 오실 때까지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,선하신 목자,할렐루야 살아계신 주,나 무엇과도 주님을 바꾸지,모든 이름 위에 뛰어난 이름,내 평생 사는 동안,,거룩 거룩 거룩,참 즐거운 노래를 늘 높이 불러서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,예수 이름이 온 땅에,주의 자비가 내려와,나의 맘 받으소서,주님 손에 맡겨 드리리,감사와 찬양드리며,,그 크신 하나님의 사랑,예수를 나의 구주 삼고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,주 이름 큰 능력 있도다,,오나의 자비로운 주여,주의 임재 앞에 잠잠해,,,나 주의 도움 받고자,아 하나님의 은혜로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
