id,제목,코드,템포,주제
b_2t45ad,Again,G,미디움,"간구, 선교"
b_1hzhddg,born again,C A Bb,빠른곡,"예수, 고백"
b_1nr76r1,가슴마다 파도친다,C,미디움,"결단과 헌신, 선교"
b_1b6ws1c,갈 길을 밝히 보이시니,G A,미디움,"고백, 인도와 보호"
b_1lcmp1u,갈릴리 마을 그 숲속에서,A,미디움,"예수, 고백"
b_4a9upd,갈보리 산 위에,A,느린곡,"십자가, 보혈"
b_481al,갈보리 십자가의 사랑,D,느린곡,"십자가, 사랑"
b_2pptl,감사,E,미디움,"감사, 고백"
b_1qx3pq5,감사로 제사를 드리는 자가,D,미디움,감사
b_4e65wk,감사와 찬양 드리며,D,미디움,"감사, 찬양(빠른곡)"
b_2hk9d9,감사해,G,미디움,"감사, 고백"
b_42xxw8,감사해 시험이 닥쳐올 때에,C,미디움,감사
b_1ylwrxd,거룩하신 전능의 주,G,빠른곡,찬양(빠른곡)
b_waih8c,거룩하신 하나님,A,느린곡,감사
b_dl0smk,거룩하신 하나님 주께 감사드리세,F,미디움,"감사, 경배"
b_dv56i0,고요한 밤 거룩한 밤,A,느린곡,"경배, 성탄"
b_ntbjog,공감하시네,E,느린곡,"사랑, 치유"
b_d3yne8,광대하신 주,A,빠른곡,찬양(빠른곡)
b_zprzr9,괴로울 때 주님의 얼굴 보라,A,미디움,"고백, 치유"
b_2q5nd,교회,E,미디움,"결단과 헌신, 교제"
b_n85kp,교회여 일어나라,A,빠른곡,"선교, 영적전쟁, 교제"
b_1ekkf41,구주 예수 의지함이,G,미디움,"예수, 고백, 인도와 보호"
b_ggdup5,구주를 생각만 해도,G,느린곡,"경배, 예수"
b_ipows,구주와 함께 나 죽었으니,F,느린곡,"예수, 십자가, 고백, 교제"
b_1e5okls,구주의 십자가 보혈로,G,느린곡,"예수, 십자가, 보혈"
b_de5ves,귀하신 주여 날 붙드사,C,느린곡,"간구, 인도와 보호"
b_2pqal,그 날,A,느린곡,"예수, 고백"
b_1ref4z1,그 날이 도적같이 이를 줄,A,미디움,"결단과 헌신, 고백"
b_a1l1gh,그 때 그 무리들이,G,미디움,"예수, 십자가"
b_1423g3x,그 맑고 환한 밤중에,A,느린곡,"경배, 성탄"
b_2i0j4w,그 사랑,F,느린곡,"십자가, 사랑"
b_3e9ngs,그 사랑 얼마나,G,느린곡,"십자가, 사랑"
b_oiv8ap,그 손이 나를 붙잡네,C,느린곡,"은혜, 고백"
b_12mwj85,그 어린 주 예수,G,느린곡,"예수, 성탄"
b_57jir0,그 크신 하나님의 사랑,D,느린곡,"하나님, 은혜, 사랑"
b_2i2i8x,그 피가,E,느린곡,"십자가, 보혈"
b_18no4q5,그가 오신 이유,C,미디움,"예수, 십자가"
b_mikyzk,그들이 방주 안에 있을 때,E,미디움,"인도와 보호, 영적전쟁"
b_rnpnjt,그리 아니하실지라도,G,느린곡,"간구, 고백"
b_1seg005,그리스도의 계절,A,미디움,"결단과 헌신, 예수, 선교"
b_bh0pzt,그의 생각,E F,느린곡,"사랑, 고백"
b_2p99x,기대,C A Bb,느린곡,"간구, 고백"
b_z8ki9s,기뻐하며 승리의 노래,E,빠른곡,영적전쟁
b_z78y6w,기뻐하며 왕께 노래 부르리,G,빠른곡,"찬양(빠른곡), 경배"
b_13cz52p,기쁘다 구주 오셨네,D,빠른곡,"예수, 영광, 성탄"
b_au0af5,기회로다,C,미디움,"결단과 헌신, 선교"
b_1qilzfb,길을 찾는 너를 위해,A,느린곡,"사랑, 간구"
b_13eow3t,깊어진 삶을 주께,E,느린곡,"결단과 헌신, 고백"
b_2huddy,꽃들도,G,미디움,"감사, 하나님"
b_ea7mmv,끝없는 사랑,F,느린곡,"은혜, 사랑"
b_e19l4b,나 가진 재물 없으나,A,미디움,"감사, 고백"
b_1okfl8g,나 같은 죄인 살리신,G,느린곡,은혜
b_13sutls,나 무엇과도 주님을 바꾸지 않으리,D,느린곡,"경배, 고백"
b_5uq5tm,나 이제 주님의 새 생명 얻은 몸,E,미디움,"결단과 헌신, 고백"
b_1hxvatx,나 자유 얻었네 너 자유 얻었네,G,빠른곡,"찬양(빠른곡), 은혜"
b_1uweffh,나 주님의 기쁨 되기 원하네,F,느린곡,간구
b_efrb12,나 주의 도움 받고자,D,미디움,"간구, 고백"
b_isk518,나 주의 믿음 갖고,G,미디움,"결단과 헌신, 고백"
b_aj3ddm,나는 믿음으로,E,미디움,"결단과 헌신, 고백"
b_n062gf,나는 아무것도 아닙니다,D E,느린곡,"은혜, 고백"
b_1yaueh4,나는 예배자입니다,F G A,느린곡,"경배, 고백"
b_16fujas,나는 주님께 속한 자,A,미디움,"결단과 헌신, 고백"
b_721da4,나는 주님을 찬양하리라,F,빠른곡,찬양(빠른곡)
b_1dvtg58,나는 찬양하리라,A,느린곡,"찬양(느린곡), 예수, 영광"
b_1yu34z8,나를 사랑하는 주님,A,느린곡,"은혜, 사랑"
b_150evc1,나를 향한 주의 사랑,E F,미디움,사랑
b_tgx5jd,나의 가는 길,G A,느린곡,"고백, 인도와 보호"
b_3o16x6,나의 가장 낮은 마음,A,느린곡,"경배, 고백"
b_1l3x4f8,나의 간절한 소망,F,느린곡,"간구, 고백"
b_1shco5k,나의 갈 길 다 가도록,G,느린곡,"고백, 인도와 보호"
